codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
2465,20,0,0,11,25,0,506,0,0,0,0,0,148,143,327,384
2464,28,1,2,17,19,1,445,0,1,0,0,0,443,153,252,480
2466,36,3,3,66,36,1,326,1,0,0,0,0,356,229,56,304
2471,7,0,0,0,3,0,88,0,0,0,0,0,36,12,12,9
2469,82,7,9,52,92,1,528,1,0,0,0,0,395,253,106,148
2468,20,0,1,7,17,0,746,0,0,0,0,0,190,148,49,56
2470,9,3,1,6,9,0,213,0,0,0,0,0,57,65,48,9
2473,6,1,1,10,8,0,465,0,0,0,0,0,257,685,137,2474
2613,6,2,2,4,2,0,365,0,0,0,0,0,7,130,73,15
2608,2,0,0,1,0,0,245,0,0,0,0,0,4,75,90,16
2609,11,2,3,4,6,0,220,0,0,0,0,0,173,51,98,40
2603,2,0,1,4,0,0,88,0,0,0,0,0,6,62,155,4
2661,36,12,2,27,32,0,205,0,0,0,0,0,216,224,140,51
2604,9,4,2,10,2,0,1034,0,0,0,0,0,246,448,168,114
2611,13,2,0,2,7,0,354,0,0,0,0,0,107,132,450,16
2601,6,3,1,5,8,0,411,0,0,0,0,0,91,97,181,6
2612,11,2,2,9,8,0,699,0,0,0,0,0,90,158,159,37
2605,8,2,1,4,3,0,254,0,0,0,0,0,132,118,66,23
2606,7,0,2,0,4,0,273,0,0,0,0,0,191,53,61,44
2602,15,null,3,17,16,0,263,0,0,0,0,0,99,58,62,16
2607,16,0,1,1,3,0,548,0,0,0,0,0,109,141,111,11
2610,25,0,0,5,15,0,185,0,0,0,0,0,109,22,2940,167
2813,2,1,1,6,3,0,174,0,0,0,0,0,67,78,72,14
2814,15,3,4,10,9,0,1103,0,2,0,0,0,300,149,261,77
2816,10,0,2,4,9,0,256,0,0,0,0,0,190,37,63,6
2815,11,0,3,7,16,0,412,0,1,0,0,0,79,215,62,60
2817,5,1,2,14,4,0,467,1,0,0,0,0,294,47,153,25
2818,4,2,2,6,4,0,151,0,0,0,0,0,53,58,141,4
2819,1,1,0,1,2,0,110,0,0,0,0,0,35,30,52,12
2861,13,0,0,3,29,0,154,0,0,0,0,0,14,283,11,20
2862,38,10,4,26,24,0,249,0,0,0,0,0,237,224,25,145
2804,1,1,1,2,3,0,357,0,0,0,0,0,16,142,13,27
2801,4,0,2,6,4,0,164,0,0,0,0,0,80,75,71,32
2805,27,0,2,29,31,0,575,0,0,0,0,0,171,25,115,18
2802,4,0,2,0,3,0,292,0,0,0,0,0,7,50,31,12
2803,7,2,3,11,5,0,257,0,0,0,0,0,0,119,63,43
2806,13,1,1,2,6,0,188,0,1,0,0,0,80,70,138,25
2807,6,1,2,2,8,0,364,0,0,0,0,0,170,112,68,30
2808,7,0,2,3,5,0,503,0,0,0,0,0,0,254,80,10
2809,6,0,0,0,6,0,207,0,0,0,0,0,31,90,28,8
2810,6,0,0,1,5,0,196,0,0,0,0,0,181,73,47,42
2811,7,1,1,1,3,0,199,0,0,0,0,0,0,102,45,5
2812,5,1,0,9,5,0,209,0,0,0,0,0,36,49,104,24
3008,15,4,2,18,15,0,215,0,0,0,0,0,220,54,29,8
3009,8,1,2,7,8,0,474,0,0,0,0,0,173,177,63,11
3015,14,0,1,10,12,0,206,0,0,0,0,0,90,136,301,152
3016,25,1,2,9,9,0,154,0,0,0,0,0,234,86,106,55
3013,3,1,3,7,4,0,344,0,0,0,0,0,120,180,74,54
3014,12,1,0,3,6,0,227,0,1,0,0,0,185,144,126,91
3010,12,0,1,1,5,0,1319,0,1,0,0,0,303,270,572,43
3011,24,1,1,3,7,0,303,0,0,0,0,0,210,161,64,13
3019,15,2,8,22,16,0,622,0,0,0,0,0,377,289,122,132
3027,12,1,1,1,13,0,651,0,0,0,0,0,99,134,110,23
3028,21,0,2,3,9,0,146,0,0,0,0,0,0,246,52,10
3002,8,2,6,11,7,0,391,0,0,0,0,0,5,341,259,29
3017,29,4,4,7,39,0,730,0,0,0,0,0,248,299,183,88
3021,100,1,7,33,50,0,1259,0,0,0,0,0,597,850,838,397
3005,3,0,2,2,2,0,21,0,0,0,0,0,111,109,68,2
3029,6,1,0,2,5,0,123,0,0,0,0,0,81,94,38,1
3030,14,0,2,5,10,0,212,0,0,0,0,0,292,124,100,28
3022,14,1,1,7,15,0,102,0,0,0,0,0,84,85,24,26
3024,23,0,1,5,26,0,422,0,0,0,0,0,176,386,311,475
3031,5,0,5,4,3,0,340,0,0,0,0,0,100,143,45,14
3012,11,2,1,3,9,0,288,0,1,0,0,0,134,36,51,33
3023,7,0,2,6,6,0,353,0,0,0,0,0,64,109,341,6
3064,188,3,17,87,136,25,486,0,0,0,0,0,782,853,420,585
3003,51,0,3,9,35,0,398,0,0,0,0,0,175,211,151,12
3006,2,1,1,0,6,0,199,0,0,0,0,0,161,79,36,24
3020,21,0,1,5,20,0,147,0,0,0,0,0,248,67,65,4
