codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
20248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,18
20249,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20251,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20252,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20254,0,0,0,0,0,0,0,0,0,0,0,0,5,1,13,0
20255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
20263,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
20264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20266,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
20267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20268,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,0
20269,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
20270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20276,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
20277,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
20278,0,0,0,0,0,0,552,0,0,0,0,0,3,0,0,0
20279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20280,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0
20281,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
